GEOID,total_area_km2
13031,1783.4838198913465
13121,1383.830632579629
13179,1401.4775171571914
13189,689.6853042468422
13213,897.8195293246197
13209,633.9414237945546
13139,1111.8583605103574
13245,851.1658000615215
13049,2028.8805446084557
13141,1237.6000488691025
13157,888.5314358332746
13315,989.7385443763806
13241,977.20260417246
13269,983.4275606888111
13177,937.19572812974
13279,960.6593979859919
13007,904.4690732574397
34015,872.3442256255212
34023,821.8156428047405
34035,789.7704061930752
34031,513.7823716254888
34021,592.7351774209633
34009,736.3872655679621
35031,14129.567269099083
35013,9881.692466085044
28059,1932.310737307152
02170,64681.948477943275
35033,4994.132485753881
53067,1967.4792555684128
51147,916.5433405347749
01009,1685.1811971734805
01095,1614.043830699578
51029,1511.2160945708806
51139,811.3265211266489
53017,4788.24020049654
51153,886.8469084602992
51171,1325.728382511683
01043,1955.5306170247795
51061,1687.978487993983
53021,3275.8609249820197
53019,5848.146351094319
53029,549.3889889959765
53075,5641.004872118554
33017,990.6920296990097
31093,1490.809462820189
31115,1479.0116844779732
51001,1456.2548436494637
21101,1205.5461492895877
21093,1631.993475669685
51119,361.42175318320284
22075,3085.142942458896
22107,1661.2983554539614
51193,631.2850991158796
22119,1592.3883292332107
23027,1977.1190441047468
51091,1077.3464469560327
21013,935.3315017407248
21131,1047.5035846843814
51083,2149.066449675403
23023,771.9298189645284
21235,1152.799896698725
24041,796.227344483466
24033,1291.973845427537
24035,1023.2229005500604
24023,1703.7480673292491
51165,2211.825830313514
37083,1891.4209256989025
37179,1656.1647172123003
37129,567.9005508511814
37163,2454.9447194290165
37031,1463.671770177605
37183,2219.6555222940306
37119,1414.7902892170423
37087,1436.083480100796
37141,2284.8135099022506
37021,1709.2747719744389
37047,2473.328181293723
37039,1208.8212802084074
37171,1389.4096009435698
37093,1014.237589984129
37105,671.2764931185455
37173,1398.8579619010195
37015,1836.3991860729668
37175,985.4397526661596
18083,1357.1448921393737
18183,875.1246649731529
18089,1306.2306781459265
18051,1293.0412903461754
18071,1330.9002017092535
18061,1258.9568970014386
21071,1024.961274976615
20123,1862.6570262992839
21043,1067.4020988018767
21085,1323.6259443531926
21011,735.488688595782
21099,1082.1955445846847
20149,2231.6687282969765
21189,513.5794205097756
21003,911.783332122301
21109,897.5085261287012
21205,741.4174686771975
21147,1116.47966083567
21031,1117.5375531812867
20203,1861.071141437244
17031,2480.005443676647
17027,1303.1086904985336
17079,1290.4968029317035
17171,654.3653724356258
17185,589.2569570105793
17047,576.8139828823789
39043,665.8497889324437
06001,1943.2307426984717
06081,1185.5281374902768
06065,18914.34543343194
06095,2305.2629271403753
06103,7673.003672404586
06111,4806.425131092799
06083,7121.639159248961
36081,318.82927675922804
06093,16441.336237766933
06115,1667.8748746124827
06033,3443.0154565811245
06061,3890.4417394861553
06005,1569.5118396636599
06043,3788.65164726668
08029,2974.8731742190707
12119,1501.9606450770382
12069,2995.538607226062
08069,6820.708889305903
09009,1606.015503428865
09007,998.848611984126
12079,1853.8185404215285
12127,3279.2024106708645
12099,5766.454348681949
12113,2974.2759701955724
12125,646.8460371113248
12093,2308.915638665238
08083,5285.168331269235
42033,2990.2628431270655
42125,2229.535269957523
42031,1579.52014119766
42097,1235.9978495277524
42061,2303.1644947230934
55099,3309.7213350818397
55121,1921.682064874258
55075,3700.7260476193983
55001,1780.569679200822
30051,3747.7982503257203
30005,10978.140668788965
30077,6040.483291680725
30057,9333.434525770399
30003,12990.156372673517
30073,4251.216130122823
30045,4844.877031704132
30009,5340.662785620442
30085,6136.9939616489655
30069,4336.443507624576
49035,2086.907728765067
49011,1645.2434396456595
01097,3282.9042159546852
49025,10640.508147198576
01033,1614.8508591760897
01041,1582.2418350570044
01065,1700.0320053975527
01109,1742.9989970081106
36011,1904.6743086604813
36025,3800.9378063280965
36115,2190.793464337943
48029,3253.27490654234
48423,2459.6674129048283
48201,4587.274843126707
48471,2075.902373155395
48257,2091.637980104807
48223,2053.1497444574165
48321,3580.8695093187384
48473,1341.3173110070043
48215,4099.608385275033
48323,3345.6853984485647
48187,1851.0864180388642
48343,669.9759222405744
48389,6842.641569454968
48071,1637.4963669005817
48351,2433.5794469398934
48057,1928.9864316065805
48455,1849.4475862806758
40017,2344.9700248955883
40135,1849.5618039526348
40117,1540.9007702617823
40101,2175.692594692773
40127,3684.5394143982485
40075,2669.5437690611475
41023,11727.941704167231
41061,5281.218368530724
41007,2209.5624218063062
41003,1756.808238590488
41015,4237.474866807501
01131,2350.3677872893068
01079,1857.531808147572
01035,2208.479685692848
05067,1661.1400964024888
05001,2690.1052598453093
05011,1690.972201251543
05025,1551.0257932142688
05099,1607.4474373917024
48273,2351.665264080162
48179,2406.9468254541243
48195,2383.208036503534
48379,670.4212035458979
48277,2416.659617528777
45063,1962.329120899597
45051,2967.1969332640474
45013,1830.3773334601858
45045,2060.6934383648886
45069,1256.9178718553667
45021,1028.9795719995122
45007,1957.328391777411
45087,1335.0891044047944
45027,1801.9256042217428
45061,1065.1251132817629
45039,1838.7490280817085
45017,1016.3918063082776
45043,2255.247137431313
21181,509.7323161599971
22103,2811.84996899806
47037,1361.1108746249968
47045,1362.821653240898
47129,1353.2105214117014
46023,2979.137906774651
47163,1112.7024147834354
47055,1582.6693021864996
47107,1119.415577275352
47031,1125.4156069057856
46055,4731.571502051422
47173,640.0144070199862
47189,1510.5850627655686
46079,1489.6867499256834
20151,1905.5684369026849
47097,1302.6826015620147
47079,1536.4264233655913
56039,10923.76561764285
56029,18039.678740605184
54043,1136.0619273698342
54001,887.9747848034077
54037,547.9610457425442
54049,806.8487897135072
54109,1299.6435647196922
54005,1303.2530975691514
16005,2973.4047356841597
04001,29058.110469511328
12045,1471.283365523809
12123,2728.8870374587295
29201,1103.1411909759784
29069,1417.4601808146588
29129,1178.7331100795518
29031,1518.5908948877022
25027,4089.8538786073195
26163,1636.3047193373034
26021,1503.471764329938
26077,1502.892332276811
26033,4234.294131182931
26071,3136.8413989038313
37055,1056.9594170487408
48443,6106.788514173903
48205,3789.9197160913372
72113,302.7502203682775
72097,199.24954721366714
72037,75.12730489647838
60030,0.09939095690783428
04013,23894.23067709257
15001,10446.21051585259
27167,1945.5929410986628
27133,1250.3497862546608
27119,5174.263772765189
27069,2858.4768061553877
27125,1120.4142356864636
27023,1522.6466508358137
26097,2783.409284963515
38067,2904.1342900194104
48405,1534.06345909466
48119,719.9048155652599
22019,2833.850972571844
22005,784.0099249384083
22071,901.3965404456098
22113,3356.7713429098344
22043,1721.678929292692
38005,3728.064265936947
38097,2233.698249456662
38095,2697.5082677467485
38037,4315.121624642488
28093,1838.4077501365791
28001,1262.7491540115686
28121,2087.7962041043684
28143,1233.2446165034244
28095,1999.400142611973
28039,1253.1908375656792
28087,1337.399419928788
28163,2419.4497398465196
28053,1116.5508333058003
16061,1242.6673118907647
16079,6844.37853127297
16077,3735.6458105565907
02020,4476.989197438859
25011,1876.2944736773643
51121,1008.2643045628547
51075,752.3188337386775
51093,835.3676127613081
51137,889.9546060030843
51023,1414.1210186632977
51009,1240.4090983421984
51007,928.7111000060278
51097,845.1202924979474
51081,768.6033213614148
02066,65169.68905201385
02240,65056.386187553406
02195,7930.422918508165
02275,6928.709332497038
02164,68522.24389988353
02110,7283.890229149193
02282,20562.6300589044
32011,10827.28902214425
29197,798.0644929914035
48301,1752.167549696842
48155,1832.9687714628021
31015,1410.6176924357846
78010,215.96883729326902
78020,50.962015253576936
23021,11338.0448969923
16025,2793.8339385037625
08107,6132.8088848365
08097,2520.2891405996925
08117,1603.9140331733215
08053,2909.288097603764
08023,3187.0684973788075
08065,993.5927207384733
08057,4198.583370543101
13073,796.8590591956854
13205,1330.8517043748518
34007,588.8458977641443
34027,1247.091098860078
34017,135.74532371592466
34001,1579.3911962959214
34025,1258.0484940176761
34011,1298.2772139851454
34019,1132.8336152320815
35045,14344.125090755288
35017,10273.346222982222
35007,9759.824287606038
35051,10976.406255946224
35055,5709.457802105365
01089,2104.9736966598134
01117,2096.5252486155346
01121,1969.2706765912192
01073,2911.6118908047124
53027,5013.586113518731
53049,2443.297232677284
01055,1421.0069013073612
53011,1698.0068778358652
53073,5618.299311656129
51107,1349.9637700792757
13319,1170.4669529130815
13021,660.1519823037909
13143,733.3644241358769
13151,845.6519472546242
13215,572.4830362621374
13113,516.6375248108593
13025,1158.3417576377394
13301,742.4989464692535
13123,1116.028095813732
13183,1046.1350135285138
13277,696.2135743008034
13291,852.4710976015092
13263,1022.3358620585266
13265,506.01172693075034
37069,1280.8937356034166
37123,1298.868571264019
37199,811.1114659191165
37155,2459.506724569068
37167,1048.4703286847766
37161,1469.1318456151062
37065,1312.7924546897664
37041,458.0235806895567
37149,617.6154799976683
37113,1345.5808120908903
37007,1390.838781304723
37023,1331.8661343223246
37121,574.9129574959562
19075,1300.029203661634
19149,2237.151670961366
19117,1125.3711403826533
19025,1482.006950891101
19111,1395.451850031458
18117,1057.181328373751
19163,1212.7136698699014
19131,1216.3375713363844
18125,883.466524884649
18027,1131.473869649263
18123,1000.6175791994951
20043,1031.3038407361137
20145,1954.5797153674957
21209,739.3790137829548
21107,1436.0856163326466
21017,755.2178068446412
21079,605.8921406642512
21049,660.7668041660845
21051,1220.275394114953
20119,2536.460733581637
21239,497.28201658494686
20071,2016.4903915461687
21005,529.1761178049703
21165,533.4228858120488
17163,1745.383506291176
17089,1357.637522631383
17167,2271.464187113237
17017,993.7327923607965
17161,1168.589752056761
17177,1462.4046784046498
17109,1528.3715710085348
17129,817.0233054303139
17125,1459.6009612552116
39093,1279.8278920423409
39061,1068.6950844867872
39007,1836.3290223011704
39167,1657.314836061488
39123,684.181300224588
39079,1091.7269481612307
06037,10598.734296686593
06087,1156.6687108369963
06039,5576.858435605225
06019,15568.320657515156
06097,4116.428744307879
06099,3920.815457777497
06107,12531.451357865324
06013,1969.273564922774
06047,5124.910328379881
36047,205.47621441176122
36005,123.11329842915683
06105,8307.73066453924
36119,1235.0567236529346
36071,2172.4232253474056
06025,11606.9780612693
51019,2010.6127635713756
01001,1565.3517359006858
53009,4578.252899269408
53071,3365.3826842692433
51089,995.5240639630362
53007,7755.495539846847
53025,7230.105335495869
53057,4547.4749935955015
53037,6042.3634920486475
01107,2304.987407328589
53043,6059.4470601116445
33015,1881.989668572057
33007,4740.714199878617
32031,16940.431813311454
31071,1479.9751874192193
31155,1967.9168420820254
31089,6261.188109602098
31183,1490.8094295790145
24039,903.1865057604159
24037,1041.2630308767828
21111,1029.8365149976305
22051,1321.418937605633
51159,505.50520796237976
51133,548.389974678027
51057,687.15599366698
21135,1282.5462653572326
22031,2316.692984114127
22029,1935.465888017457
22111,2344.130459680336
21007,709.5620971108306
51103,371.1577652104777
21133,877.9889718468257
23003,17682.345507060345
21121,1004.3461685822186
21167,655.9768436347048
21179,1098.3402825728092
21125,1149.023050699599
21097,802.5231657150666
21029,777.6926563189996
51143,2534.069134392418
21217,717.0550284018788
51099,482.3882926671623
21159,597.3894630171009
21123,682.8531394159547
22109,3847.7810970330643
24001,1108.0725377071337
24003,1163.9623054832289
24029,781.085164769822
24013,1172.847444477955
25009,1375.6365419573578
25013,1642.7888276422964
24047,1513.6318230567272
25025,162.83619606758484
37127,1405.7677257920452
37099,1281.556168595006
37115,1169.3936885576632
37079,692.060918678655
37147,1697.7359966920296
42101,369.66111085348876
42049,2095.5517368653605
42091,1261.8431408696335
42079,2346.3116805809636
42095,976.8821025072715
42043,1445.6372134290746
42071,2548.129387436251
42013,1363.7115579257702
42035,2323.486123115175
42055,2001.860653681281
42067,1019.1249445747993
44007,1120.5177393858494
42051,2068.59018183495
44009,910.8682586096462
55061,891.0425070886153
55011,1837.9339209602938
48213,2456.614406360946
48037,2390.650183177712
48331,2644.038299360089
48315,1088.862831373919
48081,2404.0241572828263
48475,2165.335159632487
48163,2937.5543965749043
48313,1223.4937543789088
48083,3318.7615728874566
48289,2798.8855804675463
48005,2239.793817410681
40143,1519.8457351981058
40089,4926.700591428319
40113,5966.907291334483
40087,1502.8979774111056
40141,2277.269909454861
40095,1105.975213835005
40077,1888.4929941963894
40055,1667.0159248814446
40151,3341.0699854655822
41047,3085.93016846669
41057,2912.4513402471634
41065,6202.234942500325
41043,5979.687755615187
41021,3166.672609823032
41063,8162.400843094088
41017,7910.209859018614
01119,2365.679475923111
05039,1729.6219023446045
05013,1637.906110255108
05081,1459.079157154398
05029,1467.0839046134683
16087,3816.081349429843
05003,2435.7854721234394
05103,1916.1662411645095
05019,2287.1819780447954
05073,1414.3531847316617
05063,1998.3038207039936
05147,1538.6845886251629
05093,2407.691749935124
06003,1924.4760202178531
05091,1653.420715496299
05095,1609.0902340827
05017,1790.3456063465087
16081,1166.3342425053943
48477,1610.3521712938116
48075,1848.15694677155
48487,2533.1109613837107
48333,1941.8183085385642
48411,2948.714834090005
48419,2161.8200141169705
48105,7271.853562718476
48051,1753.1787574965947
55111,2199.320891779035
55003,2730.903879499067
55023,1551.9223107464566
55037,1288.4088853591961
55051,2078.824664877839
30093,1861.0664619385698
30037,3044.4018657809766
30083,5447.684022771698
30059,6202.513767938668
30047,4283.972917083679
30061,3168.079398012217
30015,10350.707528669753
49043,4873.2926711457985
49003,17428.16403338045
49051,3128.0131426757926
49005,3037.962033155804
49001,6696.799165007488
49047,11665.101890935795
49019,9544.398265332831
01025,3244.295506517522
01039,2703.423023918166
01099,2679.2881359795165
01005,2342.2347008815423
01085,1878.180939183392
01051,1701.6700335410064
36075,2637.719576943924
36069,1715.9272189713213
36117,1585.632726490202
36051,1658.4054170372538
36027,2137.6887802612696
36077,2630.618088903042
36113,2412.807087582955
36009,3425.4320990594238
48113,2353.0991373882575
48085,2294.3901885857376
48453,2654.759144258011
48181,2535.8599753232083
48141,2629.0490859342103
48039,3774.8911964228696
48409,1827.8767133759652
48199,2324.4219783885687
06101,1575.8416903756454
06027,26490.83679910359
06109,5890.785571490614
36013,2809.474650867313
06011,2995.2701480436754
06057,2521.995641753778
36017,2327.6177387367616
06015,2629.3237587512153
08005,2086.523039761565
12095,2598.978572801077
12101,1985.7074669909468
12071,2294.7852616290597
12105,5207.3730103204525
08051,8442.11671118038
09011,1807.216164084817
10001,1546.8729582635776
11001,176.92973933317407
08113,3336.3794499899054
12009,3353.0510571693153
12097,3900.5258466888927
12063,2472.718414581482
12017,1710.3062415424774
12015,1923.2973387239706
42089,1598.2275557056755
12049,1653.0119286026775
12077,2183.550752647423
12013,1487.4332471472271
12047,1343.9577588983784
12129,1632.8516528452008
29095,1596.4913625237286
29033,1816.586467883679
29029,1835.3559767138627
29123,1288.7019870005383
29023,1810.684957485488
29103,1312.6274535490077
29171,1345.9074680270076
29157,1254.0976752306815
29003,1130.0573990390633
25017,2193.9932623592404
26003,2427.9113647843
26063,2166.2673479229725
26129,1489.3536419258878
26109,2724.7066121109583
26073,1496.402510314488
26055,1270.4113881758055
26013,2376.8651216077674
26141,1772.663947341001
48063,526.2966248987985
48115,2336.4145859836703
48287,1642.4613953880369
27075,5924.512790321164
72147,132.6988979400915
72047,110.33129905679311
72141,298.0651930280716
72031,123.6733873666822
72039,172.69306427158577
72033,13.003298268509303
04009,12019.41009583998
04007,12419.022066905334
04021,13920.49631063945
15009,3021.741676416223
15007,1630.4693823635814
16039,8031.2594580410405
27137,17461.71595471359
27061,7583.435247341813
27145,3600.169794130819
27103,1209.2921650501935
27127,2283.653540084324
27097,2987.438568092058
27089,4695.117269363432
27147,1119.722141405429
27031,4160.873501200798
27011,1367.76281373946
38105,5562.906223893331
38019,3911.570815398201
22069,3365.519570606769
22063,1790.693144393083
22099,2115.666381340019
22015,2245.4357333203725
22127,2477.689484866332
22079,3526.2135259511147
22091,1061.061137120735
22115,3471.359352699091
22001,1703.158267362741
22045,1604.295402332777
22025,1915.1753864021266
22047,1691.1113887910135
38099,3351.469433098127
38071,3369.6504776355036
38031,1675.2529690533106
38085,2921.933528670793
54013,727.0163095218571
54007,1337.1133380105568
22081,1041.6402445388555
28045,1251.4176676579627
48407,1626.2267443721064
48387,2738.1569329437334
48055,1415.3123926698217
45035,1479.4088725383301
45083,2123.0256591245106
45073,1744.5766343700213
45047,1201.274987831112
45079,1999.3717524762974
45031,1466.5018417991316
45057,1437.7970527553755
45055,1917.2497281800825
45049,1456.9346307634132
45067,1279.9145580805753
21065,662.2244137459668
22055,697.2699052453136
47003,1229.6656699806003
47035,1773.6492116534225
47053,1563.4073332046887
47159,842.7358617603344
47165,1406.5641104220126
47149,1616.2871927284398
46123,4188.769977321185
46093,9020.216558677821
46071,4846.439954959027
46075,2514.8382136720606
47065,1490.9416062671378
47089,813.9748048685447
47005,1129.8845916577911
47185,982.8499591048437
47041,852.0793280142692
47001,892.9914131118318
47029,1147.5729332919143
47145,1022.9511961929481
47009,1467.494135418961
47147,1234.4255850086734
47141,1042.535036610628
47043,1272.6444150687682
47011,858.5240098199496
46085,4420.649278660072
47091,784.177826373528
20001,1308.637304172412
47135,1095.2066194625513
47183,1506.6087931616673
47143,871.5402761554805
47127,337.95196320743685
47175,711.0285540213084
56033,6544.110128583157
56003,8179.64569763399
54107,976.1078247054929
54059,1097.6841631213035
54011,745.994149575016
54067,1694.6910940964506
54083,2693.388096945728
54003,833.1613972818984
54053,1151.777855132673
54041,1009.0687832813953
54073,348.5604392733229
54027,1669.7241957592255
13219,482.6763353665464
13237,934.0901594406185
04012,11682.769622376803
13201,734.6067327466307
51149,729.961268303646
51157,691.9646383686427
51067,1843.054353122283
51087,634.0620549312985
51017,1384.6093010470881
51141,1258.55837619587
51177,1073.10535502604
51037,1236.78632709428
51109,1320.0499049226112
51101,740.5536536282539
51033,1390.8680949833158
51181,733.7291221097184
51678,6.530945195438801
13135,1131.2884996987573
13103,1250.7066626707426
13067,892.2846976019418
13089,702.2639343771244
13153,984.1913751532188
13229,889.125306152552
13077,1155.0872513159482
13317,1228.0130138170211
13217,723.245513607202
13019,1185.628455269859
19195,1040.922869014986
19029,1463.352057406657
20169,1868.226184902303
21203,824.1699446175343
21193,887.2004065882261
21069,909.9001648800984
21183,1544.2722538918154
21175,994.0489492466966
20105,1865.7937343582855
21063,609.5448937475062
17097,1218.6602762685632
39035,1188.3319421686444
39075,1098.434839978185
39095,898.8534416933653
06071,52074.13386386437
06041,1407.6095760065937
36053,1712.8295021978474
36029,2730.094552601094
06063,6768.59661961991
06079,8605.09729992625
36103,2978.9252915612096
06009,2685.7028250519375
36065,3257.295440225415
08035,2183.071926083301
12057,2801.4998485598057
12117,894.3881607535128
09003,1943.9323163969002
12055,2865.8288732689857
08013,1917.8371656378602
12031,2195.061841721065
12107,2141.7175554732967
08093,5725.833985966052
08055,4126.414622312971
12109,1744.2069488373777
42045,494.3606820698676
42111,2801.5289720062187
42103,1468.1960934329625
42027,2882.5576349369776
44003,454.95724646782236
55059,720.2302051966008
30027,11266.584351002426
30081,6216.774100221886
30049,9058.175764308764
30087,13014.063188092223
30001,14433.007662208114
30013,7022.780630051506
30007,3206.763265799265
30055,6946.388838551968
49057,1709.0172732596488
49049,5553.701878254764
49017,13491.41059261475
01003,4350.689085071198
13079,845.626678155977
13001,1326.6087266465745
28007,1907.84044710274
13283,524.2865640579404
48073,2750.9580860054766
34029,1953.5587836993873
34033,903.1684059325122
35039,15271.587419052234
35043,9620.07531034481
28149,1602.2528525455618
35021,5507.35495394404
01129,2819.446268950091
53061,5466.072214251355
51015,2514.315892319739
53055,497.5886081851448
51031,1312.3409165314486
53063,4612.240394070756
51051,864.0140797249045
51195,1050.3327536293668
53015,3020.943871764885
33009,4531.1830322449205
32019,5247.704730976862
24017,1254.410107600692
21095,1212.5853405047558
21047,1875.0323367117064
23013,1058.864113037893
23015,1336.3127797722711
22035,1146.4878441748785
21027,1516.5547578524747
21127,1087.9240370190137
21151,1148.0170546606305
21231,1253.8859884731417
51191,1466.5637878981993
24025,1168.8456562474419
24015,975.6261025895616
37089,971.0423479898235
37027,1229.2156364413902
37133,2075.513041616523
37067,1067.9718286208079
37193,1958.7939959330627
37111,1153.4340799244007
37117,1182.8980229612553
37059,690.4402299112617
37103,1226.8619191813066
32015,14295.846500073554
28047,1524.6377771621444
28029,2018.6290624963583
28011,2351.8624096449967
28033,1283.9126016660503
28103,1813.3493073807542
28083,1570.487184304881
28137,1064.474135506506
48311,2995.5678388961296
16043,4910.779642292082
16035,6445.6859441716215
16029,4657.702030188245
16059,11834.26404853618
16083,4993.897054774254
16003,3546.0272664976656
16031,6683.837650772599
48229,11840.473641375955
50009,1744.7984633710917
29113,1658.8781799430494
29013,2205.3170614183127
29205,1300.907798211915
26115,1448.8194315290568
26125,2349.6314192278164
26099,1253.7723496498168
26103,4844.636355976267
18023,1049.5836537642751
48449,1102.4558085379626
72095,54.6186164965611
27053,1571.6061756217487
27071,8170.660788471199
27013,1982.9658055709122
27015,1601.3759075239893
27073,2015.087251753741
37053,745.995664177671
38017,4578.454953639954
37177,1060.781598398945
48395,2242.4307198572637
22013,2129.0692540720784
22037,1180.2520946223265
22053,1705.9721297832766
22039,1760.413211242743
22009,2242.0982636875665
38055,6029.306529698044
54093,1090.5909620513373
48501,2071.6006271245797
28161,1281.901442474572
16041,1729.2223249219214
50021,2446.2626910149756
51163,1553.9120951454593
51145,679.3278242111654
51035,1237.382800203594
51630,27.234469582252782
51005,1165.1138235496737
02070,49102.82345808496
02050,109930.60213706642
02185,233595.1824442699
02188,94036.63066650537
31117,2228.7445124121796
78030,79.99596756758379
23007,4515.333617275425
08037,4383.020410682699
08091,1404.5235982956174
08027,1916.078668581168
31103,2005.079019595216
08111,1005.5850178420557
02150,18349.406108712992
01101,2071.5028920320847
51063,988.8155294092846
51167,1233.9498888455173
51047,991.2019794857875
53041,6310.301400160467
51003,1880.2512771228696
13195,739.5997329094811
13039,1775.698668206181
13033,2162.8903535918766
13127,1205.8408122351564
13185,1322.1151585427647
13105,969.2755584283013
37165,830.3141172680083
19045,1839.4105211883457
19147,1474.9090887169066
18173,1012.7860075041689
18019,974.8971554633923
19063,1042.2630672561374
20081,1496.705802465879
21115,684.2064317759651
21155,898.3818598265985
17043,871.1987164375299
17153,525.9523995227208
17165,1002.120162156331
39049,1408.021237387213
06067,2575.437694919587
06073,11027.028124028157
06089,9964.648768216146
36045,3476.8656453087624
36105,2581.158367292802
36031,4963.571040148767
36107,1354.350167016757
48245,2552.9207647131243
48499,1801.9234500237014
48373,2873.7893197466674
48427,3183.6236206664275
48157,2292.6673232084127
48467,2226.400627214466
48465,8373.238873916987
48481,2834.2359035918735
48103,2035.401481195653
48035,2596.5697441153598
48127,3456.4373621754607
48175,2225.341508234664
40027,1444.9623003935578
40145,1530.1321009857302
40079,4165.525722690795
40067,2004.9472411767952
41041,2572.7027098709023
41033,4249.922218050423
41067,1882.0914820527105
06051,8109.772911546645
05075,1534.0816133511387
05057,1919.241914927497
05131,1409.7692795895607
06091,2491.7004900714946
16033,4569.330863486135
48007,750.9270129472201
48393,2393.3858287245707
48399,2738.148115486677
48015,1700.0342833191105
45003,2797.334470970685
45019,2651.338914653624
45041,2082.9759774134577
45077,1327.891224286359
45075,2921.364528420996
21229,780.0778068859142
47105,640.6221962332712
47157,2021.1033474980707
47025,1143.7484568338045
47121,561.154224123579
47063,455.1831874709746
47073,1294.1616889205663
46009,1506.166177457858
46057,1393.7013607833578
20101,1858.4503515098465
56013,23998.3084195878
54039,2359.2709111387917
54033,1078.7930074539195
54045,1179.866722783606
16049,22022.851634963445
12065,1587.240875469688
12007,778.2245020890194
29183,1534.4713796267074
29195,1986.2677817518236
29143,1805.028794240433
37017,2299.2067038891564
42127,1944.1496853284195
42133,2358.521774041358
42063,2161.1698878687466
44005,283.78658365684794
55057,2085.3536299236007
48001,2792.033804326073
48025,2280.1812621369745
48401,2430.9490179043178
48233,2318.232506482971
40133,1658.884494710139
41039,11964.825963527
05119,2090.987519009438
05139,2734.120906108845
05045,1719.9108279192155
05109,1590.1339920778687
05021,1662.0359641700925
05121,1698.879959311728
27021,6251.732099899498
27173,1977.0334055804838
16073,19936.46177075377
37143,652.2468172750654
38077,3744.3995905844763
38045,2980.9712873235476
38059,5038.01637334614
54063,1226.6906993300465
54057,852.4306161683879
28049,2272.409519951615
45005,1068.3243700100054
22033,1218.2737060185052
47033,688.2082769065456
47081,1586.4814126993688
47093,1362.0981708408372
47013,1290.20076760963
47181,1905.3392277843045
46083,1497.0169060792925
46117,3929.0367701332766
47057,783.4437107374141
47019,900.3018155850119
46041,6333.318855522241
20129,1889.9357606740666
54099,1326.3403840803553
54085,1174.9247073362876
